Country Name,CountryCode,Series Name,Series Code,Y2010,Y2011,Y2012,Y2013,Y2014
China,CHN,Arable land (% of land area),AG.LND.ARBL.ZS,11.42070625,11.34614465,11.28223471,11.2609314,0
Bhutan,BTN,Arable land (% of land area),AG.LND.ARBL.ZS,2.639242333,2.628748328,2.628748328,2.628748328,0
Timor-Leste,TMP,Arable land (% of land area),AG.LND.ARBL.ZS,10.08742434,10.08742434,10.7599193,10.42367182,0
Central African Republic,CAF,Arable land (% of land area),AG.LND.ARBL.ZS,2.889338342,2.889338342,2.889338342,2.889338342,0
Denmark,DNK,Arable land (% of land area),AG.LND.ARBL.ZS,57.05868489,58.89700683,56.9879802,56.74287061,0
Ukraine,UKR,Arable land (% of land area),AG.LND.ARBL.ZS,56.06055375,56.09852931,56.13132638,56.14513568,0
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,10.22566996,10.10813352,10.34320639,10.34320639,0
Uganda,UGA,Arable land (% of land area),AG.LND.ARBL.ZS,33.66247756,34.16118093,34.41053262,34.41053262,0
Uruguay,URY,Arable land (% of land area),AG.LND.ARBL.ZS,11.61581534,13.43846418,12.30145126,13.27848246,0
Chad,TCD,Arable land (% of land area),AG.LND.ARBL.ZS,3.573697586,3.891359593,3.891359593,3.891359593,0
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,15.75342466,15.77801194,15.74991219,15.74288725,0
Israel,ISR,Arable land (% of land area),AG.LND.ARBL.ZS,13.56746765,13.66451017,13.62292052,13.20702403,0
Iraq,IRQ,Arable land (% of land area),AG.LND.ARBL.ZS,9.209799226,9.900534168,9.989178486,11.51224903,0
Belize,BLZ,Arable land (% of land area),AG.LND.ARBL.ZS,3.288031565,3.288031565,3.419552828,3.419552828,0
Cabo Verde,CPV,Arable land (% of land area),AG.LND.ARBL.ZS,12.40694789,12.40694789,13.64764268,13.64764268,0
Russian Federation,RUS,Arable land (% of land area),AG.LND.ARBL.ZS,7.266345767,7.327407496,7.312142064,7.464185769,0
Bulgaria,BGR,Arable land (% of land area),AG.LND.ARBL.ZS,29.34782609,29.93736183,30.55453206,32.0467944,0
Croatia,HRV,Arable land (% of land area),AG.LND.ARBL.ZS,16.16154396,16.02394568,16.19728377,15.66118656,0
Guam,GUM,Arable land (% of land area),AG.LND.ARBL.ZS,1.851851852,1.851851852,1.851851852,1.851851852,0
Iceland,ISL,Arable land (% of land area),AG.LND.ARBL.ZS,1.226932668,1.218952618,1.208977556,1.208977556,0
Guinea,GIN,Arable land (% of land area),AG.LND.ARBL.ZS,11.80205112,11.80205112,12.20901839,12.61598567,0
Guinea-Bissau,GNB,Arable land (% of land area),AG.LND.ARBL.ZS,10.6685633,10.6685633,10.6685633,10.6685633,0
